================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۸۱۱_۲۰۰۰۰۰.wav
Language    : fa
[00:43:40.000 --> 00:44:07.000]  موسیقی
[00:44:07.000 --> 00:44:10.000]  سلام جرم ها شما خوبه
[00:44:10.000 --> 00:44:13.000]  سلامت بشین
[00:44:13.000 --> 00:44:15.000]  کچور رو بزرگ
[00:44:15.000 --> 00:44:17.000]  کچور رو رو تخ بزارید
[00:44:19.000 --> 00:44:23.000]  خب چی شده خانم زرگزایی؟
[00:44:23.000 --> 00:44:26.000]  چه عدایی میداره؟
[00:44:26.000 --> 00:44:28.000]  بینیش دسته صرف هم میدونه
[00:44:28.000 --> 00:44:30.000]  گرفتگی بینی
[00:44:30.000 --> 00:44:32.000]  صرفه، طب اینا چی؟
[00:44:32.000 --> 00:44:34.000]  فکر کنم طب هم داره
[00:44:34.000 --> 00:44:36.000]  طب هم کرده، فسق سینه؟
[00:44:36.000 --> 00:45:00.000]  خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیلی خیل
[00:45:00.000 --> 00:45:06.000]  مردم های بیمار، بیمار، آزمایش و نسخه.
[00:45:30.000 --> 00:45:32.000]  اینجا برید
[00:45:32.000 --> 00:45:34.000]  در اینجا برسید
[00:45:34.000 --> 00:45:36.000]  اینجا برسید
[00:45:36.000 --> 00:45:38.000]  نه نه نه
[00:45:38.000 --> 00:45:40.000]  جایی
[00:45:40.000 --> 00:45:42.000]  برنامه باشید
[00:45:42.000 --> 00:45:44.000]  در اینجا برسید
[00:45:44.000 --> 00:45:46.000]  در اینجا برسید
[00:45:46.000 --> 00:45:48.000]  در اینجا برسید
[00:45:48.000 --> 00:45:50.000]  در اینجا برسید
[00:45:50.000 --> 00:45:52.000]  در اینجا برسید
[00:45:52.000 --> 00:45:54.000]  در اینجا برسید
[00:45:54.000 --> 00:45:56.000]  در اینجا برسید
[00:45:56.000 --> 00:45:58.000]  در اینجا برسید
[00:45:58.000 --> 00:46:00.000]  از بیمه های زرگزایی؟
[00:46:00.000 --> 00:46:01.000]  نه
[00:46:01.000 --> 00:46:03.000]  پامسنین بیمه یا آزاد بیمه؟
[00:46:03.000 --> 00:46:04.000]  آزاد
[00:46:04.000 --> 00:46:06.000]  چرا بیمه زدین چرا؟
[00:46:06.000 --> 00:46:07.000]  نه
[00:46:07.000 --> 00:46:08.000]  نه
[00:46:08.000 --> 00:46:09.000]  بیمه زدین؟
[00:46:09.000 --> 00:46:10.000]  نه
[00:46:10.000 --> 00:46:11.000]  بیمه زدین
[00:46:11.000 --> 00:46:12.000]  نه
[00:46:12.000 --> 00:46:13.000]  بیمه زدین
[00:46:13.000 --> 00:46:14.000]  نه
[00:46:14.000 --> 00:46:15.000]  بیمه زدین
[00:46:15.000 --> 00:46:16.000]  نه
[00:46:16.000 --> 00:46:17.000]  بیمه زدین
[00:46:17.000 --> 00:46:18.000]  نه
[00:46:18.000 --> 00:46:19.000]  بیمه زدین
[00:46:19.000 --> 00:46:20.000]  نه
[00:46:20.000 --> 00:46:21.000]  بیمه زدین
[00:46:21.000 --> 00:46:22.000]  نه
[00:46:22.000 --> 00:46:23.000]  بیمه زدین
[00:46:23.000 --> 00:46:24.000]  نه
[00:46:24.000 --> 00:46:25.000]  بیمه زدین
[00:46:25.000 --> 00:46:26.000]  نه
[00:46:26.000 --> 00:46:27.000]  بیمه زدین
[00:46:27.000 --> 00:46:29.000]  نرکت یک کار کنی؟
[00:46:29.000 --> 00:46:31.000]  نرکت
[00:46:31.000 --> 00:46:33.000]  خوب
[00:46:33.000 --> 00:46:35.000]  ساره ای سایی
[00:46:35.000 --> 00:46:39.000]  چونه چونه چونه چونه
[00:46:39.000 --> 00:46:41.000]  برامون برامون منی که برامون برید
[00:46:41.000 --> 00:46:43.000]  داری برای
[00:46:43.000 --> 00:46:45.000]  دارواشم دیگر من دهیم
[00:46:45.000 --> 00:46:47.000]  باشه
[00:46:47.000 --> 00:46:49.000]  بی کن
[00:46:49.000 --> 00:46:51.000]  نرکت باش که چیه ها
[00:46:51.000 --> 00:46:53.000]  یه شعبه
[00:46:53.000 --> 00:46:55.000]  ستر نفتم بهش بدیم
[00:46:55.000 --> 00:46:59.400]  دیگه نمیدونستم این بهتر مال کمی عهورانیلیه
[00:46:59.400 --> 00:47:02.200]  خب روزی استقال
[00:47:02.200 --> 00:47:03.400]  هر هشت ساعت بازی
[00:47:03.400 --> 00:47:04.900]  طب هم گفتی کرده بود؟
[00:47:04.900 --> 00:47:05.500]  آهان
[00:47:05.500 --> 00:47:06.700]  زیاد یا کم؟
[00:47:06.700 --> 00:47:08.400]  کم بدنش کردی
[00:47:08.400 --> 00:47:10.800]  جامعه اونجا
[00:47:10.800 --> 00:47:12.400]  همجا اونجا
[00:47:12.400 --> 00:47:15.500]  خب این داروها رو بیاریم
[00:47:15.500 --> 00:47:16.600]  باشیم
[00:47:16.600 --> 00:47:17.600]  خدمت شماست
[00:47:17.600 --> 00:47:19.600]  این هم به منشین بگیریم روزی استقال میده
[00:47:19.600 --> 00:47:23.600]  خامسان این داروها این عهورانیلی سال کن چه حدیقی موبایل نمونه
[00:47:23.600 --> 00:47:24.400]  بله
[00:47:24.400 --> 00:47:26.400]  یکی هاورانینی هم داره
[00:47:26.400 --> 00:47:28.400]  بسیاریم
[00:47:32.400 --> 00:47:34.400]  بخواند
[00:47:34.400 --> 00:47:36.400]  سلام عباره
[00:47:36.400 --> 00:47:38.400]  خوش آمدید
[00:47:38.400 --> 00:47:40.400]  برگیر را بگیرند
[00:47:40.400 --> 00:47:42.400]  آقای ولی چی شده جنبا؟
[00:47:42.400 --> 00:47:44.400]  شربا خورده
[00:47:44.400 --> 00:47:46.400]  شربای شدی
[00:47:46.400 --> 00:47:48.400]  شربای شدی
[00:47:48.400 --> 00:47:50.400]  خوش
[00:47:50.400 --> 00:47:52.400]  آقای زشت
[00:47:52.400 --> 00:47:54.400]  برای خوب دیگر صبح باید نداشت
[00:47:54.400 --> 00:47:56.400]  صبح تب داشته بود؟
[00:47:56.400 --> 00:47:58.400]  دیشه هم هم تب کرده بود
[00:47:58.400 --> 00:48:00.400]  صرفه هاش از که شروع شده؟
[00:48:00.400 --> 00:48:02.400]  دو سه روز هستم
[00:48:02.400 --> 00:48:04.400]  دارو چیزی هم دادی؟
[00:48:04.400 --> 00:48:06.400]  چه شروطی؟
[00:48:06.400 --> 00:48:08.400]  نمیدونم
[00:48:08.400 --> 00:48:10.400]  به درمانه رو کش داره دیگر
[00:48:10.400 --> 00:48:12.400]  درمانه که از درمانه
[00:48:12.400 --> 00:48:14.400]  این هم دارو میدونه
[00:48:14.400 --> 00:48:16.400]  اگه آن پول میدونه
[00:48:16.400 --> 00:48:18.400]  من آن پول میمیتونم برای باید دارو هم بدیم
[00:48:18.400 --> 00:48:20.900]  آمپول خوب نمیشه این امکان نداره
[00:48:20.900 --> 00:48:23.640]  مثلا آمپول زده صرفه نداری مثلا
[00:48:23.640 --> 00:48:25.640]  شما هر جا بینید آمپول زده صرفه
[00:48:25.640 --> 00:48:27.640]  این باید شروط زده صرفه بیده
[00:48:27.640 --> 00:48:30.640]  شروط هایشون خیلی سخت میخورد
[00:48:30.640 --> 00:48:32.640]  همین دیگه دست من نیست
[00:48:32.640 --> 00:48:35.640]  من فقط دو تا آمپول پیشتر از نام نمیشه باید
[00:48:35.640 --> 00:48:37.640]  بچه از رده نده داوی میشه
[00:48:37.640 --> 00:48:39.640]  بقیه شباب خوراکی بدین
[00:48:39.640 --> 00:48:43.640]  ببین آب این شروط هم شروط شیرینه شنشن
[00:48:43.640 --> 00:48:45.640]  این شروط ها دیگه مزه هاشون یک جوری هست
[00:48:45.640 --> 00:48:48.640]  مثلا شیلیه اصلا تثیر نداره
[00:48:48.640 --> 00:48:50.640]  یکی هست اصلا
[00:48:50.640 --> 00:48:52.640]  درست داریم باید محضر بدیم
[00:48:52.640 --> 00:48:55.640]  این دیگه اصلا با آب اینا خاطی کنیم با آب میبه آرام آرام بیدیم
[00:48:55.640 --> 00:48:57.640]  آهانه نداریم با آب محضر کنیم
[00:48:57.640 --> 00:48:59.640]  نه نه با آب میبه با آب رقیقش کنیم
[00:48:59.640 --> 00:49:01.640]  درست دیگه شو
[00:49:01.640 --> 00:49:03.640]  سرشی وقت پاشی بگیر
[00:49:03.640 --> 00:49:05.640]  دیگه شو
[00:49:05.640 --> 00:49:07.640]  یکی تو باید یکی تو بستا
[00:49:07.640 --> 00:49:09.640]  نه
[00:49:09.640 --> 00:49:11.640]  ماما ماما
[00:49:11.640 --> 00:49:13.640]  رونی بیرون باشه بینی
[00:49:13.640 --> 00:49:15.640]  نه بابا
[00:49:15.640 --> 00:49:17.640]  نه
[00:49:17.640 --> 00:49:19.640]  نه ببینی نشد نشد
[00:49:19.640 --> 00:49:21.640]  دستارو باز کنی
[00:49:21.640 --> 00:49:23.640]  نه
[00:49:23.640 --> 00:49:25.640]  نه
[00:49:25.640 --> 00:49:27.640]  باید نه ببینی ماما
[00:49:27.640 --> 00:49:29.640]  نه
[00:49:29.640 --> 00:49:31.640]  دستارو باز کنی
[00:49:31.640 --> 00:49:33.640]  نه
[00:49:33.640 --> 00:49:35.640]  نه
[00:49:35.640 --> 00:49:37.640]  یه دقیقه دیگه
[00:49:38.640 --> 00:49:40.640]  برای مدر بوما
[00:49:43.640 --> 00:49:44.640]  بگو نخونه
[00:49:44.640 --> 00:49:45.640]  تموم تموم
[00:49:55.640 --> 00:49:57.640]  ببین
[00:49:57.640 --> 00:49:59.640]  تموم تموم
[00:50:00.000 --> 00:50:29.980]  بیمار در مطب پزشکی، داروها، آزمایش و نسخه.
[00:50:30.000 --> 00:50:32.000]  خدا خوش
[00:50:39.000 --> 00:50:43.000]  خانسنگی به دوروخانه هم میگه اینکه دوز زدیم که وقتشون باشه
[00:50:43.000 --> 00:50:44.000]  سلام
[00:50:44.000 --> 00:50:46.000]  سلامت بشی خدا
[00:50:46.000 --> 00:50:47.000]  گلدا با بازی
[00:50:47.000 --> 00:50:48.000]  این روز اومدیم اینجا
[00:50:48.000 --> 00:50:49.000]  چی بوده؟
[00:50:49.000 --> 00:50:50.000]  زردی
[00:50:50.000 --> 00:50:51.000]  آه زردی داشته
[00:51:00.000 --> 00:51:12.000]  این از درد هست، باید تو رو میبینیم. خب؟ اینجا چند روزشه؟
[00:51:12.000 --> 00:51:18.000]  نسبتی دیروز مثلا یه درد 20 ترصدی زیاد شده.
[00:51:18.000 --> 00:51:26.000]  آره، مثلا دیروز شکمش نبود، اینجا شکمش هم زرد شده یه مدار، انگوشتر هم خودتون با شده.
[00:51:26.000 --> 00:51:31.000]  یا اینکه پیشتر شده این هم معمولا از دو سه هم، چه هم به بعد شروع میشه
[00:51:31.000 --> 00:51:37.000]  دو کار میتونی کنید یا اینکه از الان دستگاه بگوید بذارید برای که پیشتر به پیشتر نشیده
[00:51:37.000 --> 00:51:42.000]  یا اینکه باید سر کنید حتی ما سه روز تطیب میگیم یا چهارشان، پنشان، فرومه تطیب میگیم
[00:51:42.000 --> 00:51:45.000]  و این میره به شمبه
[00:51:45.000 --> 00:51:47.000]  متدیم میشیم بگم
[00:51:47.000 --> 00:51:51.000]  ولی الان مثل اینکه دیروز به 20% زیاد شده
[00:51:51.000 --> 00:51:55.000]  اگر بخواهید همگیزی زیاد باشه جالب نیست
[00:51:55.000 --> 00:51:59.000]  اگر دستگاه بگیریم مکنه هست
[00:51:59.000 --> 00:52:03.000]  سه روز بعد معلومه چقدر گرمی کنیم
[00:52:03.000 --> 00:52:05.000]  اینجا به منشین بگیم؟
[00:52:05.000 --> 00:52:07.000]  آره تا شمبه دستگاه بگیریم
[00:52:07.000 --> 00:52:10.000]  اون جوش هایی ایزه اینا اشکال نداره
[00:52:10.000 --> 00:52:12.000]  هرمونی همونه
[00:52:12.000 --> 00:52:14.000]  مهمیست
[00:52:14.000 --> 00:52:16.000]  جوش هایی ریزه
[00:52:16.000 --> 00:52:18.000]  این باسی بوشی نمیدونی؟
[00:52:18.000 --> 00:52:20.000]  مشکل هم نمیدونی
[00:52:20.000 --> 00:52:22.000]  جام بوشی شما باشی؟
[00:52:22.000 --> 00:52:24.000]  دیگه مشکل نمیدونی
[00:52:24.000 --> 00:52:26.000]  بر یه چیزاش خوبه نه
[00:52:26.000 --> 00:52:28.000]  از وقت بر موشی
[00:52:28.000 --> 00:52:30.000]  دستگاه رو هم به موشی بگیر
[00:52:30.000 --> 00:52:32.000]  خب در وقتی شما مطمئن تر بگیر
[00:52:32.000 --> 00:52:34.000]  خب از این کان هم زنده باشی
[00:52:46.000 --> 00:53:15.000]  موسیقی
[00:53:16.000 --> 00:53:45.000]  موسیقی
[00:53:46.000 --> 00:53:56.000]  موسیقی
[00:54:16.000 --> 00:54:20.000]  این اسابونی نخون هشت ساعت هشت کلتر میدید
[00:54:20.000 --> 00:54:22.000]  این هشت ساعت دو گاشه و کچک
[00:54:22.000 --> 00:54:25.000]  این روز یک بار یک و نیم سی سی هر روز
[00:54:25.000 --> 00:54:27.000]  یک و نیم سی سی
[00:54:27.000 --> 00:54:30.000]  یک عطش جکان فر و یک نصف
[00:54:30.000 --> 00:54:32.000]  نصف درست داریم
[00:54:32.000 --> 00:54:34.000]  این شروعات هم گرفتیم؟
[00:54:34.000 --> 00:54:36.000]  نه نه
[00:54:36.000 --> 00:54:38.000]  درست داریم
[00:54:46.000 --> 00:55:00.000]  موسیقی
[00:55:00.000 --> 00:55:20.000]  موسیقی
[00:55:30.000 --> 00:55:50.000]  موسیقی
[00:56:00.000 --> 00:56:10.000]  موسیقی
[00:56:30.000 --> 00:56:50.000]  موسیقی
[00:56:50.000 --> 00:57:16.000]  موسیقی
[00:57:16.000 --> 00:57:18.000]  باید برداریم
[00:57:18.000 --> 00:57:20.000]  باید برداریم
[00:57:20.000 --> 00:57:22.000]  باید برداریم
[00:57:22.000 --> 00:57:24.000]  باید برداریم
[00:57:24.000 --> 00:57:26.000]  باید برداریم
[00:57:26.000 --> 00:57:28.000]  باید برداریم
[00:57:28.000 --> 00:57:30.000]  باید برداریم
[00:57:30.000 --> 00:57:32.000]  باید برداریم
[00:57:32.000 --> 00:57:34.000]  باید برداریم
[00:57:34.000 --> 00:57:36.000]  باید برداریم
[00:57:36.000 --> 00:57:38.000]  باید برداریم
[00:57:38.000 --> 00:57:40.000]  باید برداریم
[00:57:40.000 --> 00:57:42.000]  باید برداریم
[00:57:42.000 --> 00:57:44.000]  باید برداریم
[00:57:44.000 --> 00:57:48.960]  برم همین یک در 15 رسپیچ که چند بار بالا می آورد این بیار می شد
[00:57:48.960 --> 00:57:50.960]  بعد می کنم اونجورم اونجورم
[00:57:50.960 --> 00:57:52.960]  بسیار درد می کنم
[00:57:52.960 --> 00:57:54.960]  دردش هم طولت سپید می شد اینکه
[00:57:54.960 --> 00:57:55.960]  بله؟
[00:57:55.960 --> 00:57:58.760]  ببارکتر شد الان باز مریض نیستش
[00:57:58.760 --> 00:57:59.760]  بالا می می آره بردیم
[00:57:59.760 --> 00:58:02.240]  هر چند روز با تنها می گویم اونو گه اینجا درد
[00:58:02.240 --> 00:58:03.240]  کجا؟
[00:58:03.240 --> 00:58:06.240]  نه چند روز می گه قفصی سینم درد
[00:58:06.240 --> 00:58:07.240]  اینجا گویم اینجا درد
[00:58:07.240 --> 00:58:09.240]  چه موقع هایی میگه صبح یا غروب؟
[00:58:09.240 --> 00:58:11.240]  غروب، بعد از باهم صبح میگه
[00:58:11.240 --> 00:58:14.240]  من سردرد هم میشه، بعد اینجا سرد میگه
[00:58:14.240 --> 00:58:15.240]  کجایی سرش؟
[00:58:15.240 --> 00:58:17.240]  اینجا میگه درد میکنه، اینجا
[00:58:17.240 --> 00:58:19.240]  خب خب، اینجا هم اینجا
[00:58:20.240 --> 00:58:21.240]  نه اینجا نیست
[00:58:21.240 --> 00:58:23.240]  اما خوب ها اینجا
[00:58:23.240 --> 00:58:26.240]  کسی من تو خونه سردرد داشته باشه؟
[00:58:26.240 --> 00:58:27.240]  نه خودم
[00:58:27.240 --> 00:58:29.240]  خودت میگه سرم درد میکنه؟
[00:58:29.240 --> 00:58:30.240]  آمین
[00:58:30.240 --> 00:58:31.240]  تو خونه میگی؟
[00:58:31.240 --> 00:58:34.000]  صبح دیگه سردرد بودی که خودس درشو بستی
[00:58:37.240 --> 00:58:38.240]  نفر چطوری؟
[00:58:39.440 --> 00:58:41.440]  کجای سینه ترک میکنه از شویه؟
[00:58:42.120 --> 00:58:44.120]  این سرش کجاش ترک میکنه؟
[00:58:46.280 --> 00:58:48.280]  صبح درک میکنه یا خروبه؟
[00:58:48.600 --> 00:58:49.600]  صبح درک میکنه
[00:58:49.600 --> 00:58:51.600]  الان صبح که سرش درد میکنه
[00:58:51.600 --> 00:58:53.600]  دیگه اون بار جایی بستی
[00:58:57.640 --> 00:59:00.040]  الان اون سر آخرین بار که اون بار را بکنه
[00:59:00.040 --> 00:59:02.040]  نیتشاد نیست
[00:59:05.040 --> 00:59:08.040]  با سردار خوبه با بیچارش
[00:59:09.040 --> 00:59:11.040]  یه بیچار در بار نگه در میده
[00:59:12.040 --> 00:59:16.040]  آیا با رو بیچار بیدیم برای درد قفصی سیندباز یک عکس بینیم
[00:59:17.040 --> 00:59:21.040]  سردردش تو حالت داره یا حالتش نیتشاد تغلیط میکنه
[00:59:22.040 --> 00:59:24.040]  یا حالت اینکه واقعا سردرده
[00:59:25.040 --> 00:59:27.040]  اگه اونجایی باشه باید سی تیز کنیم
[00:59:27.040 --> 00:59:31.040]  سابقه میگرین اینا که خانواده داریم؟
[00:59:31.040 --> 00:59:34.040]  نه میگرین نداریم؟ نه
[00:59:34.040 --> 00:59:37.040]  از طبیعی چطوره بچه؟
[00:59:37.040 --> 00:59:39.040]  تو داره، پرخواشگره، آرومه؟
[00:59:39.040 --> 00:59:42.040]  بریشهره، بازوگوش خیلی
[00:59:42.040 --> 00:59:44.040]  سردردش ببینی؟ صبح پیشتره؟
[00:59:44.040 --> 00:59:46.040]  نه این پاش هم درد بکنه
[00:59:46.040 --> 00:59:47.040]  نه سردرد ببینی؟
[00:59:47.040 --> 00:59:49.040]  پیشتر صبح
[00:59:49.040 --> 00:59:53.040]  حالا تهوه هم بیشتر سمیزه با سردرد؟
[00:59:53.040 --> 00:59:55.040]  پیشتر با موهرم خودم
